"fundamental_hz","harmonic","target_frequency_hz","frames","true_relative_deg","measured_error_deg","circular_stddev_deg","resultant"
"50000.0","10","500000.0","50","23.0","-93.75359981651408","0.3255629161032058","0.999983856745492"
"60000.0","2","120000.0","10","87","-1.05900000002195","0.0330000007809782","0.9999998341358208"
"60000.0","3","180000.0","10","124","-3.57600000668575","0.06560488268006484","0.9999993444634313"
"60000.0","4","240000.0","10","161","-7.19599999494578","0.06726068900506826","0.9999993109555904"
"60000.0","5","300000.0","10","-162","-13.0689999969971","0.04846648431322372","0.999999642226889"
"60000.0","6","360000.0","10","-125","-23.5349998607744","0.1355175309473907","0.999997202854273"
"60000.0","7","420000.0","10","-88","-41.8079998446741","0.1433038835629958","0.9999968721927616"
"60000.0","8","480000.0","10","-51","-73.9870000552955","0.12116519981661349","0.99999776395747"
"70000.0","2","140000.0","10","87","-1.65700000095772","0.040012498609524355","0.9999997561537783"
"70000.0","3","210000.0","10","124","-5.00899999958328","0.031128765039792464","0.999999852412869"
"70000.0","4","280000.0","10","161","-10.3340000003753","0.027276363655039968","0.9999998866823241"
"70000.0","5","350000.0","10","-162","-20.7799999999086","0.034641016935759016","0.9999998172295566"
"70000.0","6","420000.0","10","-125","-41.1030000033647","0.057105167397278916","0.9999995033213985"
"70000.0","7","490000.0","10","-88","-81.5190000008718","0.05393514769420761","0.9999995569340372"
"80000.0","2","160000.0","10","87","-2.06700007518388","0.1001049238453299","0.999998473716226"
"80000.0","3","240000.0","10","124","-6.54300015405926","0.1283004111202404","0.9999974928501557"
"80000.0","4","320000.0","10","161","-15.0810000421128","0.09964438047359363","0.999998487727573"
"80000.0","5","400000.0","10","-162","-33.6110001027776","0.15693635748742818","0.9999962487927277"
"80000.0","6","480000.0","10","-125","-72.4500000399353","0.1317573745110349","0.9999973559234179"
"90000.0","2","180000.0","10","87","-2.69599999997807","0.01624807685739938","0.9999999597905012"
"90000.0","3","270000.0","10","124","-8.69599999920435","0.028000000156121165","0.9999998805899772"
"90000.0","4","360000.0","10","161","-22.0729999980309","0.0438292135693147","0.9999997074150169"
"90000.0","5","450000.0","10","-162","-52.9519999937748","0.04995998279708914","0.9999996198375505"
"100000.0","2","200000.0","10","87","-3.46200000499694","0.10740578290887602","0.9999982429679308"
"100000.0","3","300000.0","10","124","-11.5250000087121","0.11960352448779864","0.9999978212258109"
"100000.0","4","400000.0","10","161","-32.4079998838417","0.19353561936889913","0.9999942951357573"
"100000.0","5","500000.0","10","-162","-90.2780000541233","0.13249908365295596","0.9999973260707722"
"110000.0","2","220000.0","10","87","-4.29500000042646","0.029410882589914946","0.9999998682529724"
"110000.0","3","330000.0","10","124","-15.3969999996753","0.01846618527014275","0.9999999480627315"
"110000.0","4","440000.0","10","161","-47.0929999993256","0.03195309120822055","0.9999998444928135"
"120000.0","2","240000.0","10","87","-5.03800000053491","0.031240998573378736","0.9999998513467114"
"120000.0","3","360000.0","10","124","-20.3509999956403","0.08005624148106542","0.9999990238536806"
"120000.0","4","480000.0","10","161","-69.4449999766054","0.0838152791055983","0.9999989300317313"
"130000.0","2","260000.0","10","87","-6.16","0.010954451140634126","0.999999981722955"
"130000.0","3","390000.0","10","124","-27.49","0.011832159575249666","0.9999999786767808"
"140000.0","2","280000.0","10","87","-7.37199999971487","0.03994996986516101","0.9999997569153145"
"140000.0","3","420000.0","10","124","-36.7969999994316","0.044056782578866374","0.9999997043688239"
"150000.0","2","300000.0","10","87","-8.96700000131107","0.03100000009727226","0.9999998536313396"
"150000.0","3","450000.0","10","124","-48.578000003971","0.05653317882979063","0.9999995132214347"
"160000.0","2","320000.0","10","87","-10.9580000018813","0.04069398076763836","0.9999997477767975"
"160000.0","3","480000.0","10","124","-66.1099999826368","0.10188230225740212","0.9999984190363059"
"170000.0","2","340000.0","10","87","-13.5189999997935","0.019723082967536793","0.9999999407519133"
"180000.0","2","360000.0","10","87","-16.7729999999165","0.019519221388097214","0.9999999419703827"
"190000.0","2","380000.0","10","87","-20.5880000001145","0.01248999595059631","0.9999999762398417"
"200000.0","2","400000.0","10","87","-25.8510002665584","0.21621505960720624","0.999992879752781"
"210000.0","2","420000.0","10","87","-31.5949999998629","0.019104973252000158","0.999999944407322"
"220000.0","2","440000.0","10","87","-38.4699999999086","0.013416407856887328","0.9999999725844326"
"230000.0","2","460000.0","10","87","-47.2020000000012","0.01833030281929979","0.9999999488242746"
"240000.0","2","480000.0","10","87","-59.1920000038028","0.07560424167681831","0.9999991294035862"
"250000.0","2","500000.0","10","87","-77.2040001367961","0.3273597146951219","0.9999836780643127"
